759	1933	1
1805	510	1
6549	1562	1
3728	1648	1
1397	57	1
334	1821	1
7193	1520	1
6190	719	1
2577	450	1
1007	88	1
6287	1959	1
4466	125	1
6515	1116	1
2456	1384	1
3450	595	1
4835	249	1
7500	1646	1
437	1536	1
1835	539	1
7186	1236	1
2841	719	1
2216	539	1
1142	1124	1
1291	1173	1
7415	202	1
3370	1932	1
7693	1476	1
892	440	1
1168	1091	1
6463	177	1
1249	847	1
6455	999	1
1213	183	1
1003	1257	1
1914	830	1
4064	1512	1
3402	1315	1
7334	142	1
2450	1021	1
5561	616	1
3677	1124	1
280	1382	1
609	1175	1
513	1638	1
4221	248	1
2509	1755	1
3406	1505	-1
4774	719	1
6369	1250	1
7196	754	1
1152	1926	1
717	1419	1
1706	615	1
792	88	1
3044	88	1
4666	1124	1
4708	647	-1
2600	776	1
7116	402	1
7529	1029	1
6908	1638	1
6102	162	1
1786	1596	1
4870	894	1
6702	78	1
2495	1608	1
2872	1421	1
4647	1636	1
2655	1475	1
773	552	1
7426	423	1
7585	1360	1
3193	792	1
263	206	1
7811	1370	1
2660	46	1
6268	719	1
5771	402	1
4980	281	1
3659	1523	1
4438	46	1
6378	308	1
3084	206	1
447	706	1
4986	510	1
7025	1935	1
6348	847	1
7340	1926	1
2151	1667	1
5270	1098	1
2578	177	1
3030	271	1
5831	322	1
6539	1	1
4121	1648	1
5411	298	1
1050	270	1
3101	95	1
2141	1646	1
5281	206	1
448	1745	1
1142	814	1
7552	1917	1
7501	1552	1
1127	1021	1
7345	1703	1
3884	857	1
2301	751	1
7284	491	1
3943	1399	1
2357	1944	1
346	1124	1
7836	669	1
4403	1419	1
4595	142	1
5712	215	1
3429	102	1
1614	791	-1
481	830	1
847	1624	1
4315	26	1
4836	1462	1
2108	1500	1
3521	1121	1
2862	615	1
951	1636	1
487	665	1
3301	1	1
210	1917	1
7110	557	1
5840	377	1
4842	1722	1
2778	1644	1
7307	971	1
4862	1619	1
5684	1944	1
4694	1887	1
3053	459	1
1800	1708	1
3316	751	1
3189	1021	1
5581	713	1
4868	1308	1
5310	598	1
1443	475	1
2176	1026	1
885	504	1
405	38	1
5092	656	1
1191	825	1
6368	1236	1
5243	142	1
2275	6	1
5752	308	1
6511	206	1
4742	1944	1
3474	632	1
6049	718	1
1983	504	1
7779	1950	1
7204	775	1
2120	284	-1
394	1881	1
4454	1540	1
4611	431	1
4031	849	1
4593	541	1
7422	25	1
2541	975	1
271	1650	1
5790	953	1
7139	1087	1
501	428	1
6528	261	1
5215	1657	1
6696	105	1
6355	1818	1
3933	1337	1
6958	420	1
5652	842	1
1320	1613	1
5508	340	1
6742	1002	1
1965	417	1
3409	80	1
7895	1003	1
6834	656	1
1308	1121	1
3402	1566	1
5687	765	1
1326	1096	1
5447	233	1
3630	84	1
3069	1944	1
7004	847	1
2458	1646	1
5389	1236	1
2422	615	1
6145	206	1
3726	684	1
1788	206	1
2163	598	1
4671	1944	1
6134	1029	1
4587	719	1
335	1415	1
3090	709	-1
729	1021	1
7753	1719	1
5719	177	1
4571	361	1
5177	1638	1
4068	1484	1
1944	1387	1
2253	1387	1
7680	1646	1
5315	420	1
4646	177	1
5741	646	1
6769	234	1
4318	1091	1
1617	1638	1
5174	1299	1
2438	402	1
7184	345	1
4730	1320	1
4653	1911	1
1592	1041	1
324	1636	1
4332	142	1
4891	1866	1
7433	847	1
1570	379	1
1985	615	1
2953	616	1
4275	1944	1
677	1590	1
2272	215	1
3404	1611	1
7080	504	1
558	1955	1
881	1864	1
4849	789	1
7858	1646	1
3906	653	1
5891	960	1
378	262	1
1982	942	1
521	811	1
6933	1668	1
4154	571	1
436	1559	1
4408	402	1
5739	1505	1
2437	1562	1
4852	1589	1
4561	1967	-1
5233	1646	1
7005	1253	1
3727	390	1
3716	489	-1
6714	1953	1
6570	1557	1
6655	262	1
2812	886	1
522	1683	1
